130983	101090713	huanghua	黄骅	cangzhou	沧州	hebei	河北
130984	101090714	hejian	河间	cangzhou	沧州	hebei	河北
131000	101090601	langfang	廊坊	langfang	廊坊	hebei	河北
131002	101090610	anci	安次	langfang	廊坊	hebei	河北
131003	101090611	guangyang	广阳	langfang	廊坊	hebei	河北
131022	101090602	guan	固安	langfang	廊坊	hebei	河北
131023	101090603	yongqing	永清	langfang	廊坊	hebei	河北
131024	101090604	xianghe	香河	langfang	廊坊	hebei	河北
131025	101090605	dacheng	大城	langfang	廊坊	hebei	河北
131026	101090606	wenan	文安	langfang	廊坊	hebei	河北
131028	101090607	dachang	大厂	langfang	廊坊	hebei	河北
131081	101090608	bazhou	霸州	langfang	廊坊	hebei	河北
131082	101090609	sanhe	三河	langfang	廊坊	hebei	河北
131100	101090801	hengshui	衡水	hengshui	衡水	hebei	河北
131102	101090812	taocheng	桃城	hengshui	衡水	hebei	河北
131103	101090810	jizhou	冀州	hengshui	衡水	hebei	河北
131121	101090802	zaoqiang	枣强	hengshui	衡水	hebei	河北
131122	101090803	wuyi	武邑	hengshui	衡水	hebei	河北
131123	101090804	wuqiang	武强	hengshui	衡水	hebei	河北
131124	101090805	raoyang	饶阳	hengshui	衡水	hebei	河北
131125	101090806	anping	安平	hengshui	衡水	hebei	河北
131126	101090807	gucheng	故城	hengshui	衡水	hebei	河北
131127	101090808	jingxian	景县	hengshui	衡水	hebei	河北
131128	101090809	fucheng	阜城	hengshui	衡水	hebei	河北
131182	101090811	shenzhou	深州	hengshui	衡水	hebei	河北
140100	101100101	taiyuan	太原	taiyuan	太原	shanxi	山西
140105	101100107	xiaodianqu	小店区	taiyuan	太原	shanxi	山西
140106	101100108	yingze	迎泽	taiyuan	太原	shanxi	山西
140107	101100109	xinghualing	杏花岭	taiyuan	太原	shanxi	山西
140108	101100106	jiancaopingqu	尖草坪区	taiyuan	太原	shanxi	山西
140109	101100110	wanbailin	万柏林	taiyuan	太原	shanxi	山西
140110	101100111	jinyuan	晋源	taiyuan	太原	shanxi	山西
140121	101100102	qingxu	清徐	taiyuan	太原	shanxi	山西
140122	101100103	yangqu	阳曲	taiyuan	太原	shanxi	山西
140123	101100104	loufan	娄烦	taiyuan	太原	shanxi	山西
140181	101100105	gujiao	古交	taiyuan	太原	shanxi	山西
140200	101100201	datong	大同	datong	大同	shanxi	山西
140203	101100209	kuangqu	矿区	datong	大同	shanxi	山西
140211	101100210	nanjiao	南郊	datong	大同	shanxi	山西
140212	101100211	xinrong	新荣	datong	大同	shanxi	山西
140215	101100203	datongxian	大同县	datong	大同	shanxi	山西
140221	101100202	yanggao	阳高	datong	大同	shanxi	山西
140222	101100204	tianzhen	天镇	datong	大同	shanxi	山西
140223	101100205	guangling	广灵	datong	大同	shanxi	山西
140224	101100206	lingqiu	灵丘	datong	大同	shanxi	山西
140225	101100207	hunyuan	浑源	datong	大同	shanxi	山西
140226	101100208	zuoyun	左云	datong	大同	shanxi	山西
140300	101100301	yangquan	阳泉	yangquan	阳泉	shanxi	山西
140303	101100304	kuangqu	矿区	yangquan	阳泉	shanxi	山西
140311	101100305	jiaoqu	郊区	yangquan	阳泉	shanxi	山西
140321	101100303	pingding	平定	yangquan	阳泉	shanxi	山西
140322	101100302	yuxian	盂县	yangquan	阳泉	shanxi	山西
140400	101100501	changzhi	长治	changzhi	长治	shanxi	山西
140405	101100503	tunliu	屯留	changzhi	长治	shanxi	山西
140406	101100504	lucheng	潞城	changzhi	长治	shanxi	山西
140411	101100512	jiaoqu	郊区	changzhi	长治	shanxi	山西
140423	101100505	xiangyuan	襄垣	changzhi	长治	shanxi	山西
140425	101100506	pingshun	平顺	changzhi	长治	shanxi	山西
140426	101100502	licheng	黎城	changzhi	长治	shanxi	山西
140427	101100511	huguan	壶关	changzhi	长治	shanxi	山西
140428	101100509	zhangzi	长子	changzhi	长治	shanxi	山西
140429	101100507	wuxiang	武乡	changzhi	长治	shanxi	山西
140430	101100508	qinxian	沁县	changzhi	长治	shanxi	山西
140431	101100510	qinyuan	沁源	changzhi	长治	shanxi	山西
140500	101100601	jincheng	晋城	jincheng	晋城	shanxi	山西
140521	101100602	qinshui	沁水	jincheng	晋城	shanxi	山西
140522	101100603	yangcheng	阳城	jincheng	晋城	shanxi	山西
140524	101100604	lingchuan	陵川	jincheng	晋城	shanxi	山西
140525	101100606	zezhou	泽州	jincheng	晋城	shanxi	山西
140581	101100605	gaoping	高平	jincheng	晋城	shanxi	山西
140600	101100901	shuozhou	朔州	shuozhou	朔州	shanxi	山西
140602	101100907	shuocheng	朔城	shuozhou	朔州	shanxi	山西
140603	101100902	pinglu	平鲁	shuozhou	朔州	shanxi	山西
140621	101100903	shanyin	山阴	shuozhou	朔州	shanxi	山西
140622	101100905	yingxian	应县	shuozhou	朔州	shanxi	山西
140623	101100904	youyu	右玉	shuozhou	朔州	shanxi	山西
140681	101100906	huairen	怀仁	shuozhou	朔州	shanxi	山西
140700	101100401	jinzhong	晋中	jinzhong	晋中	shanxi	山西
140702	101100402	yuci	榆次	jinzhong	晋中	shanxi	山西
140721	101100403	yushe	榆社	jinzhong	晋中	shanxi	山西
140722	101100404	zuoquan	左权	jinzhong	晋中	shanxi	山西
140723	101100405	heshun	和顺	jinzhong	晋中	shanxi	山西
140724	101100406	xiyang	昔阳	jinzhong	晋中	shanxi	山西
140725	101100407	shouyang	寿阳	jinzhong	晋中	shanxi	山西
140726	101100408	taigu	太谷	jinzhong	晋中	shanxi	山西
140727	101100409	qixian	祁县	jinzhong	晋中	shanxi	山西
140728	101100410	pingyao	平遥	jinzhong	晋中	shanxi	山西
140729	101100411	lingshi	灵石	jinzhong	晋中	shanxi	山西
140781	101100412	jiexiu	介休	jinzhong	晋中	shanxi	山西
140800	101100801	yuncheng	运城	yuncheng	运城	shanxi	山西
140802	101100814	yanhu	盐湖	yuncheng	运城	shanxi	山西
140821	101100802	linyi	临猗	yuncheng	运城	shanxi	山西
140822	101100804	wanrong	万荣	yuncheng	运城	shanxi	山西
140823	101100808	wenxi	闻喜	yuncheng	运城	shanxi	山西
140824	101100803	jishan	稷山	yuncheng	运城	shanxi	山西
140825	101100806	xinjiang	新绛	yuncheng	运城	shanxi	山西
140826	101100807	jiangxian	绛县	yuncheng	运城	shanxi	山西
140827	101100809	yuanqu	垣曲	yuncheng	运城	shanxi	山西
140828	101100812	xiaxian	夏县	yuncheng	运城	shanxi	山西
140829	101100813	pinglu	平陆	yuncheng	运城	shanxi	山西
140830	101100811	ruicheng	芮城	yuncheng	运城	shanxi	山西
140881	101100810	yongji	永济	yuncheng	运城	shanxi	山西
140882	101100805	hejin	河津	yuncheng	运城	shanxi	山西
140900	101101001	xinzhou	忻州	xinzhou	忻州	shanxi	山西
140902	101101016	xinfu	忻府	xinzhou	忻州	shanxi	山西
140921	101101002	dingxiang	定襄	xinzhou	忻州	shanxi	山西
140922	101101003	wutaixian	五台县	xinzhou	忻州	shanxi	山西
140923	101101008	daixian	代县	xinzhou	忻州	shanxi	山西
140924	101101009	fanshi	繁峙	xinzhou	忻州	shanxi	山西
140925	101101007	ningwu	宁武	xinzhou	忻州	shanxi	山西
140926	101101012	jingle	静乐	xinzhou	忻州	shanxi	山西
140927	101101006	shenchi	神池	xinzhou	忻州	shanxi	山西
140928	101101014	wuzhai	五寨	xinzhou	忻州	shanxi	山西
